airbnb_id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
1198315,"DuPont Place 6, Metro, kitchenette",17633,Charlotte,"Dupont Circle, Connecticut Avenue,K Street",38.91513784,-77.04338211,"Entire home,apt",129,2,85,1.88,33,284
2808417,"Upscale 1 BR (Dupont, U & 14th St.)",14363575,Julie,"Dupont Circle, Connecticut Avenue,K Street",38.91816271,-77.03716814,"Entire home,apt",140,2,66,1.79,1,47
17586779,Large Studio in Central Dupont Location,33907571,Luisa,"Dupont Circle, Connecticut Avenue,K Street",38.91055218,-77.03766002,"Entire home,apt",95,1,5,2.78,1,33
7800582,Dupont #2 Condo. Prime Location,41047431,Anton,"Dupont Circle, Connecticut Avenue,K Street",38.90907338,-77.04529166,"Entire home,apt",132,3,31,3.43,6,255
16143403,Huge Dupont apartment short walk from White House,18885084,Max,"Dupont Circle, Connecticut Avenue,K Street",38.90921786,-77.04046804,"Entire home,apt",1000,2,0,0.0,1,89
16176174,B - Great room for business traveler - Heart of DC,15044614,Sanjay,"Dupont Circle, Connecticut Avenue,K Street",38.91697943,-77.03556818,Private room,120,1,0,0.0,5,352
16627888,3 storey rowhome in perfect location!,3153633,Jaeson,"Dupont Circle, Connecticut Avenue,K Street",38.91539234,-77.03860135,"Entire home,apt",160,1,0,0.0,1,0
10340334,"U Street,Dupont,AdamsMo 1BR!",19251305,Frank,"Dupont Circle, Connecticut Avenue,K Street",38.91754678,-77.03748681,"Entire home,apt",150,2,1,0.09,1,0
13915106,Modern DuPont Studio #3,39930655,Nicole,"Dupont Circle, Connecticut Avenue,K Street",38.91730684,-77.03924191,"Entire home,apt",110,1,69,6.85,24,305
3429149,Private bedroom in family home.,347943,Daniel,"Dupont Circle, Connecticut Avenue,K Street",38.91385199,-77.03705935,Private room,76,1,2,0.92,2,176
1198049,"DuPont Place 3 - Metro, kitchenette",17633,Charlotte,"Dupont Circle, Connecticut Avenue,K Street",38.91520693,-77.04424485,"Entire home,apt",152,1,85,1.85,33,97
10635178,Great studio in a great location,13491868,Lacey,"Dupont Circle, Connecticut Avenue,K Street",38.90567437,-77.03516079,"Entire home,apt",135,3,21,1.4,1,2
18565018,Spacious studio in the heart of DC,102491662,Florencia,"Dupont Circle, Connecticut Avenue,K Street",38.91052061,-77.03845899,"Entire home,apt",100,2,0,0.0,1,81
7489397,Large 1BR Apartment in Dupont Circle,39224004,Jonathan,"Dupont Circle, Connecticut Avenue,K Street",38.91281644,-77.04345782,"Entire home,apt",126,3,4,0.21,1,326
8967332,Slumber at Swann St ~ Parking!!,46630199,Lara & Alex,"Dupont Circle, Connecticut Avenue,K Street",38.91429699,-77.03587821,"Entire home,apt",149,3,51,2.62,42,222
184144,"Dupont Circle, Stunning Apt",883385,Pierre,"Dupont Circle, Connecticut Avenue,K Street",38.91313809,-77.04430705,"Entire home,apt",140,20,7,0.1,1,129
15781557,Studio Steps from Dupont Circle,32837250,Olivia,"Dupont Circle, Connecticut Avenue,K Street",38.90838642,-77.04062440000001,"Entire home,apt",85,2,4,1.08,1,64
11851356,EXQUISITE DUPONT CIRCLE TOWNHOUSE CENTRAL DC,35906337,David,"Dupont Circle, Connecticut Avenue,K Street",38.91742226,-77.0385182,"Entire home,apt",475,3,13,0.98,3,332
16600553,Furnished Studio Apt for Rent in Dupont Circle !!!,38272586,Thomas,"Dupont Circle, Connecticut Avenue,K Street",38.910453499999996,-77.04721461,"Entire home,apt",100,20,1,1.0,1,56
4083095,"MODERN COZY APT IN DUPONT CIRCLE ON 18 St, NW",21132530,Jd & Ed,"Dupont Circle, Connecticut Avenue,K Street",38.91392396,-77.04083315,"Entire home,apt",149,3,144,4.61,1,288
11848929,Heart of Dupont: Huge + Convenient,5212616,Zachary,"Dupont Circle, Connecticut Avenue,K Street",38.91260792,-77.03909301,"Entire home,apt",100,2,31,2.24,1,9
281806,BEST CITY HAS TO OFFER! 3 BEDROOMS!,1468884,Margarita,"Dupont Circle, Connecticut Avenue,K Street",38.91613354,-77.03571685,"Entire home,apt",260,4,6,0.17,3,227
5098674,"Comfortable DuPont, 2-Bed, Porch, Parking Option",1662757,Gloria,"Dupont Circle, Connecticut Avenue,K Street",38.91473063,-77.04396134,"Entire home,apt",295,3,25,0.91,4,336
2969776,Dupont Circle Apartment,3750664,Peter,"Dupont Circle, Connecticut Avenue,K Street",38.90921523,-77.04689033,"Entire home,apt",130,5,11,0.3,1,43
3821677,Dupont Circle - Central & Spacious!,2451243,Thanh,"Dupont Circle, Connecticut Avenue,K Street",38.91423356,-77.04211638,"Entire home,apt",115,2,17,0.52,1,0
4411488,Great space in Historic Townhouse 5,5487930,Mark,"Dupont Circle, Connecticut Avenue,K Street",38.91535393,-77.04112303,Private room,99,2,9,0.3,13,364
13683673,Top floor bright studio in Dupont Circle,10551767,Nuria,"Dupont Circle, Connecticut Avenue,K Street",38.91370627,-77.04096072,"Entire home,apt",275,2,4,0.7,1,0
12733044,Splash of Style ~ Dupont Circle!,46630199,Lara & Alex,"Dupont Circle, Connecticut Avenue,K Street",38.91413197,-77.04345295,"Entire home,apt",120,3,34,2.75,42,333
17188095,Cozy private bedroom in a duplex in Dupont Circle,5169749,Livia & Manuel,"Dupont Circle, Connecticut Avenue,K Street",38.91334585,-77.04535687,Private room,80,2,0,0.0,2,13
17843420,Sunny Studio in Logan Circle,5477636,Elixabet,"Dupont Circle, Connecticut Avenue,K Street",38.91337629,-77.03468484,"Entire home,apt",111,1,6,6.0,1,7
3785899,Sunny & central Dupont Circle gem!,8306701,Leila,"Dupont Circle, Connecticut Avenue,K Street",38.91434657,-77.04239415,"Entire home,apt",110,3,15,0.47,1,22
16237702,Heart of Dupont Townhome 2017,94508158,Richard,"Dupont Circle, Connecticut Avenue,K Street",38.91069268,-77.04287496,"Entire home,apt",220,3,1,0.27,1,150
